getter	page_var	logical_name	spec_alias	canonical_guess	page_id	pages_in_chain	total_record_slots	has_data	note	refs_catalog_cpp	refs_catalog_h	refs_executor_cpp	first_refs
partitionsTablePage	partitions_table_page_	partitions			71	1	0	no	ok	15	2	0	src/core/catalog_manager.cpp:10498,src/core/catalog_manager.cpp:10500,src/core/catalog_manager.cpp:10501,src/core/catalog_manager.cpp:12408,src/core/catalog_manager.cpp:19686,src/core/catalog_manager.cpp:20012
tableInheritanceTablePage	table_inheritance_table_page_	table_inheritance			72	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10504,src/core/catalog_manager.cpp:10506,src/core/catalog_manager.cpp:10507,src/core/catalog_manager.cpp:12413,src/core/catalog_manager.cpp:19687,src/core/catalog_manager.cpp:20013
languagesTablePage	languages_table_page_	languages			73	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10510,src/core/catalog_manager.cpp:10512,src/core/catalog_manager.cpp:10513,src/core/catalog_manager.cpp:12418,src/core/catalog_manager.cpp:19688,src/core/catalog_manager.cpp:20014
eventsTablePage	events_table_page_	events			74	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10516,src/core/catalog_manager.cpp:10518,src/core/catalog_manager.cpp:10519,src/core/catalog_manager.cpp:12423,src/core/catalog_manager.cpp:19689,src/core/catalog_manager.cpp:20015
packageMembersTablePage	package_members_table_page_	package_members			75	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10522,src/core/catalog_manager.cpp:10524,src/core/catalog_manager.cpp:10525,src/core/catalog_manager.cpp:12428,src/core/catalog_manager.cpp:19690,src/core/catalog_manager.cpp:20016
indexColumnsTablePage	index_columns_table_page_	index_columns			76	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10529,src/core/catalog_manager.cpp:10531,src/core/catalog_manager.cpp:10532,src/core/catalog_manager.cpp:12433,src/core/catalog_manager.cpp:19691,src/core/catalog_manager.cpp:20017
indexOpclassTablePage	index_opclass_table_page_	index_opclass			77	1	0	no	ok	15	2	0	src/core/catalog_manager.cpp:10535,src/core/catalog_manager.cpp:10537,src/core/catalog_manager.cpp:10538,src/core/catalog_manager.cpp:12438,src/core/catalog_manager.cpp:19692,src/core/catalog_manager.cpp:20018
indexOpclassFunctionTablePage	index_opclass_fn_table_page_	index_opclass_fn			78	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10541,src/core/catalog_manager.cpp:10543,src/core/catalog_manager.cpp:10544,src/core/catalog_manager.cpp:12443,src/core/catalog_manager.cpp:19693,src/core/catalog_manager.cpp:20019
indexOptionsTablePage	index_options_table_page_	index_options			79	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10547,src/core/catalog_manager.cpp:10549,src/core/catalog_manager.cpp:10550,src/core/catalog_manager.cpp:12448,src/core/catalog_manager.cpp:19694,src/core/catalog_manager.cpp:20020
indexAccessMethodsTablePage	index_access_methods_table_page_	index_access_methods			80	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10553,src/core/catalog_manager.cpp:10555,src/core/catalog_manager.cpp:10556,src/core/catalog_manager.cpp:12453,src/core/catalog_manager.cpp:19695,src/core/catalog_manager.cpp:20021
